ds,y,yhat
2024-04-01,8289.0,8075.691909871756
2024-05-01,8202.0,8142.142083849558
2024-06-01,7617.0,8089.361609809314
2024-07-01,8108.0,7697.942183508279
2024-08-01,7929.0,7806.67271284216
2024-09-01,7618.0,7817.442979245013
2024-10-01,8618.0,8079.2254934221955
2024-11-01,7953.0,7801.077261591363
2024-12-01,7444.0,7875.160803625045
2025-01-01,,8250.963660582163
2025-02-01,,7849.76108950913
2025-03-01,,8352.814341349524
2025-04-01,,8179.211464091066
2025-05-01,,8219.882732172267
2025-06-01,,8137.7242712062325
2025-07-01,,7802.089521447572
2025-08-01,,7882.346494173251
2025-09-01,,7870.2741669776005
2025-10-01,,8166.0752899436975
2025-11-01,,7866.59624746359
2025-12-01,,7911.182383832773
2026-01-01,,8468.881434142158
2026-02-01,,7945.473780692514
2026-03-01,,8448.527032532907
2026-04-01,,8274.92415527445
2026-05-01,,8315.595423355651
2026-06-01,,8233.436962389616
2026-07-01,,7897.802212630956
2026-08-01,,7978.059185356635
2026-09-01,,7965.986858160984
2026-10-01,,8261.787981127081
2026-11-01,,7962.308938646974
2026-12-01,,8006.895075016156
2027-01-01,,8564.594125325544
2027-02-01,,8041.186471875898
2027-03-01,,8544.239723716291
2027-04-01,,8370.636846457834
2027-05-01,,8411.308114539035
2027-06-01,,8329.149653573
2027-07-01,,7993.51490381434
2027-08-01,,8073.771876540019
2027-09-01,,8061.699549344368
2027-10-01,,8357.500672310465
2027-11-01,,8058.021629830358
2027-12-01,,8102.60776619954
2028-01-01,,8660.306816508928
2028-02-01,,8136.899163059282
2028-03-01,,8639.952414899675
2028-04-01,,8466.349537641217
2028-05-01,,8507.020805722419
2028-06-01,,8424.862344756384
2028-07-01,,8089.227594997724
2028-08-01,,8169.4845677234025
2028-09-01,,8157.412240527752
2028-10-01,,8453.21336349385
2028-11-01,,8153.7343210137415
2028-12-01,,8198.320457382924
2029-01-01,,8756.019507692312
2029-02-01,,8232.611854242665
2029-03-01,,8735.665106083059
2029-04-01,,8562.062228824601
2029-05-01,,8602.733496905803
2029-06-01,,8520.575035939768
2029-07-01,,8184.940286181108
2029-08-01,,8265.197258906786
2029-09-01,,8253.124931711136
2029-10-01,,8548.926054677233
2029-11-01,,8249.447012197124
2029-12-01,,8294.033148566306
